iter	Logloss
0	0.6911649308
1	0.6893135358
2	0.6876399072
3	0.6862073484
4	0.6846792902
5	0.6831610434
6	0.6816509641
7	0.6801563412
8	0.6787612801
9	0.6775915548
10	0.676386521
11	0.6750689463
12	0.6738186001
13	0.6727651699
14	0.6716840556
15	0.6704868133
16	0.6692867371
17	0.6683154627
18	0.6671839618
19	0.6661170999
20	0.6651624804
21	0.6641720554
22	0.663315411
23	0.6623848097
24	0.6616120766
25	0.6608599493
26	0.6599747499
27	0.6591987165
28	0.6584186215
29	0.657525465
30	0.6567043081
31	0.6558435178
32	0.6550612579
33	0.6543379203
34	0.6536050395
35	0.6529569617
36	0.6522295702
37	0.6515553446
38	0.6508376719
39	0.6502464786
40	0.6497228132
41	0.6491268634
42	0.6485277814
43	0.6479315392
44	0.6473695578
45	0.6468961771
46	0.6463641693
47	0.6458649479
48	0.6452805677
49	0.6447897493
50	0.6443207205
51	0.6437474723
52	0.6432787806
53	0.6428503988
54	0.6424211156
55	0.6419232987
56	0.6415828011
57	0.6411747109
58	0.6407234414
59	0.6403072579
60	0.6399211321
61	0.6395795059
62	0.639277605
63	0.6389075549
64	0.638530505
65	0.6381384963
66	0.6377802306
67	0.6374648343
68	0.6370645977
69	0.6367698975
70	0.636428627
71	0.636093822
72	0.6357744822
73	0.6354220024
74	0.6350680124
75	0.6346545936
76	0.6343781961
77	0.6340682768
78	0.6337006053
79	0.6334233916
80	0.6331365371
81	0.6328846868
82	0.6326552471
83	0.6323992318
84	0.6321144363
85	0.6318665918
86	0.6315570599
87	0.6312315563
88	0.6309924966
89	0.6307280939
90	0.6304171599
91	0.6301620805
92	0.6298973215
93	0.6295995667
94	0.6293208643
95	0.629101167
96	0.6288756449
97	0.6286314052
98	0.6283923269
99	0.6281566794
100	0.6279379855
101	0.6277235164
102	0.6274450944
103	0.6272361652
104	0.6270110753
105	0.6267962094
106	0.6265961826
107	0.6263657497
108	0.6261705436
109	0.6259468408
110	0.6257543712
111	0.6255640567
112	0.6253691303
113	0.6251226966
114	0.6248700959
115	0.6246539723
116	0.6244664056
117	0.6242954867
118	0.6241253323
119	0.6239401247
120	0.6237530762
121	0.6235776464
122	0.6233609515
123	0.6231877718
124	0.6229927191
125	0.6227988531
126	0.6226034501
127	0.6224189699
128	0.6222339479
129	0.6220309184
130	0.6218680069
131	0.6217086352
132	0.6215098208
133	0.6213345302
134	0.6211850141
135	0.6210112878
136	0.6208043825
137	0.6205920301
138	0.6204339167
139	0.6202455564
140	0.6200956938
141	0.6199273311
142	0.6197458525
143	0.6195818644
144	0.6194156579
145	0.6192193151
146	0.6190833095
147	0.6189370148
148	0.6187782677
149	0.6186089026
150	0.6184574958
151	0.6182859274
152	0.6181361456
153	0.6179872503
154	0.6178312834
155	0.6176743001
156	0.6175250864
157	0.6173789191
158	0.6172386817
159	0.6170935236
160	0.6169659386
161	0.6168295339
162	0.616696452
163	0.6165589828
164	0.6164178835
165	0.6162826225
166	0.6161486813
167	0.6160023778
168	0.6158708411
169	0.6157366021
170	0.615578893
171	0.6154452271
172	0.6153159932
173	0.6151838415
174	0.6150533551
175	0.614890286
176	0.6147621102
177	0.6146356265
178	0.614486139
179	0.6143402315
180	0.6142156628
181	0.6140948588
182	0.6139676365
183	0.613831319
184	0.6137046784
185	0.6135853226
186	0.6134301403
187	0.6132944357
188	0.6131749479
189	0.6130662828
190	0.6129396942
191	0.6128253642
192	0.6127141118
193	0.6126036616
194	0.612488362
195	0.6123683051
196	0.6122537535
197	0.6121381333
198	0.612026171
199	0.6118992467
200	0.6117940867
201	0.6116848564
202	0.6115641957
203	0.6114450011
204	0.6113306359
205	0.6112187774
206	0.6111057675
207	0.6109755281
208	0.6108715866
209	0.6107491961
210	0.610634634
211	0.6105168492
212	0.610409721
213	0.6102848805
214	0.6101701019
215	0.6100622626
216	0.6099518946
217	0.6098480522
218	0.6097344968
219	0.609619493
220	0.6095240201
221	0.6094026609
222	0.6092822974
223	0.6091769372
224	0.6090711205
225	0.608963271
226	0.6088453758
227	0.6087470224
228	0.6086480332
229	0.6085348644
230	0.6084320856
231	0.6083217196
232	0.6081957121
233	0.6080944255
234	0.6079945088
235	0.6079088548
236	0.6077974129
237	0.6076785869
238	0.6075862037
239	0.6074871021
240	0.6073895115
241	0.6072865063
242	0.6071748463
243	0.6070787186
244	0.6069663596
245	0.6068675984
246	0.6067686296
247	0.6066650084
248	0.6065580656
249	0.6064548587
250	0.6063513872
251	0.6062531337
252	0.6061388786
253	0.6060537868
254	0.6059548901
255	0.6058428604
256	0.6057500565
257	0.605647009
258	0.605555401
259	0.6054569474
260	0.6053592474
261	0.6052593512
262	0.6051709716
263	0.605064171
264	0.6049703364
265	0.6048805448
266	0.6047789621
267	0.6046776102
268	0.6045830942
269	0.6044924617
270	0.6043967519
271	0.6042938884
272	0.6042038248
273	0.6041008485
274	0.6040089241
275	0.6039152673
276	0.6038338045
277	0.6037294354
278	0.6036179079
279	0.6035260827
280	0.6034301341
281	0.6033475209
282	0.6032442138
283	0.603160878
284	0.6030679777
285	0.6029846709
286	0.6028913038
287	0.602797691
288	0.6027161924
289	0.6026207735
290	0.602537092
291	0.602445544
292	0.6023449257
293	0.602267738
294	0.6021786997
295	0.6020987182
296	0.6020067767
297	0.6019192544
298	0.6018411555
299	0.6017554685
300	0.6016569188
301	0.6015718236
302	0.6014818762
303	0.6013758368
304	0.6012824839
305	0.6011926712
306	0.6011051964
307	0.6010188873
308	0.6009445073
309	0.6008575845
310	0.6007741372
311	0.6006955046
312	0.6006156681
313	0.6005362696
314	0.6004546852
315	0.6003678757
316	0.600288939
317	0.6001994296
318	0.60010871
319	0.6000245257
320	0.5999555086
321	0.5998682152
322	0.5997846903
323	0.5997064657
324	0.5996318978
325	0.5995535788
326	0.5994766615
327	0.599392359
328	0.5993120629
329	0.5992347632
330	0.5991447742
331	0.5990539409
332	0.5989889082
333	0.598900449
334	0.5988209999
335	0.5987404257
336	0.5986598108
337	0.5985875542
338	0.598507605
339	0.5984211539
340	0.5983406453
341	0.5982561053
342	0.5981729737
343	0.5980874611
344	0.5980149072
345	0.5979349534
346	0.597856102
347	0.5977561804
348	0.5976834816
349	0.5976144158
350	0.5975359659
351	0.5974602231
352	0.5973757568
353	0.5972923038
354	0.597221104
355	0.5971264816
356	0.5970452677
357	0.596963882
358	0.5968734369
359	0.5967780782
360	0.5967082468
361	0.5966387969
362	0.5965642346
363	0.5965000269
364	0.5964220889
365	0.5963356319
366	0.5962595574
367	0.5961927277
368	0.5961166437
369	0.5960437662
370	0.5959755168
371	0.5958952398
372	0.5958230427
373	0.5957530692
374	0.5956833087
375	0.5956140215
376	0.5955426758
377	0.5954617007
378	0.5953894484
379	0.5953201472
380	0.5952597666
381	0.5951656617
382	0.5950976699
383	0.5950265035
384	0.5949560611
385	0.5948789885
386	0.5947969385
387	0.5947302215
388	0.5946615601
389	0.5945835284
390	0.5945084399
391	0.594439199
392	0.5943656384
393	0.5942730338
394	0.5941933657
395	0.5941352363
396	0.5940686305
397	0.5939992007
398	0.5939248104
399	0.593858789
400	0.5937886654
401	0.5937294068
402	0.5936431792
403	0.5935689439
404	0.5934997244
405	0.5934200755
406	0.5933398922
407	0.5932722538
408	0.5931923505
409	0.5931215447
410	0.5930502897
411	0.5929751948
412	0.5929088727
413	0.5928398335
414	0.5927702827
415	0.5926931378
416	0.5926293277
417	0.592556801
418	0.5924805913
419	0.5924245945
420	0.5923578246
421	0.5922804545
422	0.5922111119
423	0.5921483699
424	0.5920713869
425	0.5920036313
426	0.5919330756
427	0.5918680349
428	0.591799744
429	0.591726087
430	0.5916674578
431	0.5916038761
432	0.5915355041
433	0.5914674909
434	0.5913947686
435	0.5913225515
436	0.591256713
437	0.5911784429
438	0.5911123867
439	0.5910385549
440	0.5909784303
441	0.590907575
442	0.5908417501
443	0.5907768998
444	0.5907132302
445	0.5906407755
446	0.59057354
447	0.590508641
448	0.5904455098
449	0.5903773045
450	0.590299463
451	0.5902279424
452	0.5901643286
453	0.5901011775
454	0.5900238467
455	0.5899565833
456	0.5899004527
457	0.5898439073
458	0.589781007
459	0.5897208747
460	0.5896534527
461	0.5895926442
462	0.5895225602
463	0.5894591399
464	0.5893923648
465	0.5893321388
466	0.5892651901
467	0.5892062193
468	0.5891439913
469	0.5890810156
470	0.5890154768
471	0.5889578936
472	0.5889010046
473	0.5888518263
474	0.5887799224
475	0.5887174438
476	0.5886569391
477	0.5885856495
478	0.5885251241
479	0.58845535
480	0.5883939994
481	0.5883304815
482	0.5882698287
483	0.5882072155
484	0.5881469742
485	0.5880874111
486	0.5880384163
487	0.5879675361
488	0.5879095958
489	0.5878501864
490	0.5877948825
491	0.5877310352
492	0.5876748928
493	0.5876083887
494	0.58754608
495	0.5874760075
496	0.5873976733
497	0.5873322464
498	0.5872645309
499	0.5872078555
500	0.5871477336
501	0.587090158
502	0.5870335259
503	0.5869663233
504	0.5869092234
505	0.5868458389
506	0.5867931251
507	0.5867341534
508	0.5866815053
509	0.5866212234
510	0.58655232
511	0.5864836319
512	0.5864234535
513	0.5863639439
514	0.5863108928
515	0.5862527214
516	0.586195561
517	0.5861335221
518	0.5860712041
519	0.5860130356
520	0.585957059
521	0.5858895861
522	0.585837718
523	0.5857802779
524	0.5857293112
525	0.5856677307
526	0.5856085879
527	0.5855359785
528	0.5854771918
529	0.5854178014
530	0.5853517735
531	0.5852878339
532	0.5852232194
533	0.5851656916
534	0.5851053294
535	0.5850391847
536	0.5849736533
537	0.5849031766
538	0.5848440886
539	0.5847914382
540	0.5847354747
541	0.5846729408
542	0.5846034734
543	0.5845442657
544	0.5844840119
545	0.584429926
546	0.5843649531
547	0.5843055185
548	0.5842560608
549	0.5841947276
550	0.5841336784
551	0.5840799459
552	0.5840248912
553	0.5839720756
554	0.5839190492
555	0.5838571366
556	0.5837942527
557	0.5837418735
558	0.5836779755
559	0.5836311734
560	0.583574158
561	0.5835211082
562	0.5834667949
563	0.5834076553
564	0.5833503718
565	0.5832940883
566	0.5832420582
567	0.5831969085
568	0.5831422743
569	0.5830891679
570	0.5830388832
571	0.5829874273
572	0.5829397751
573	0.5828906554
574	0.5828378401
575	0.5827734357
576	0.5827283863
577	0.5826738545
578	0.5826228431
579	0.5825750611
580	0.5825153687
581	0.5824582127
582	0.5824050745
583	0.5823513481
584	0.5822923048
585	0.5822444511
586	0.5821887005
587	0.5821369848
588	0.5820877389
589	0.5820232296
590	0.5819676345
591	0.5819034028
592	0.5818387007
593	0.5817924594
594	0.5817448316
595	0.5816908886
596	0.5816304046
597	0.581569684
598	0.5815134705
599	0.5814671294
600	0.581406804
601	0.5813390927
602	0.5812935087
603	0.5812534755
604	0.58120986
605	0.5811541988
606	0.5811004362
607	0.5810448635
608	0.5809836576
609	0.5809251348
610	0.5808766208
611	0.5808182879
612	0.5807587043
613	0.5806945185
614	0.5806313389
615	0.5805767313
616	0.580520375
617	0.5804615125
618	0.5804110351
619	0.5803553558
620	0.5803046308
621	0.5802486619
622	0.5801954519
623	0.580136634
624	0.5800818859
625	0.5800361116
626	0.5799728898
627	0.5799237149
628	0.5798752969
629	0.57982477
630	0.5797614164
631	0.579710499
632	0.5796632228
633	0.5796089634
634	0.5795537571
635	0.5795062609
636	0.5794562934
637	0.5793886404
638	0.5793340682
639	0.5792868518
640	0.579239893
641	0.5791758229
642	0.5791419045
643	0.5790838812
644	0.5790313845
645	0.578976998
646	0.578929244
647	0.5788759064
648	0.5788166157
649	0.5787528609
650	0.5786978194
651	0.5786436205
652	0.5785914222
653	0.5785452713
654	0.5784933311
655	0.5784469721
656	0.5783900622
657	0.5783275041
658	0.5782661411
659	0.5782199091
660	0.5781553625
661	0.5780979718
662	0.5780474335
663	0.5779969707
664	0.5779542657
665	0.5778988824
666	0.5778502174
667	0.5777956196
668	0.5777381085
669	0.5776944547
670	0.5776521902
671	0.5776057107
672	0.5775503704
673	0.5775013232
674	0.5774496496
675	0.5773971779
676	0.5773392381
677	0.5772866354
678	0.5772301843
679	0.5771773097
680	0.5771273745
681	0.5770734281
682	0.5770154588
683	0.5769700135
684	0.5769105789
685	0.5768595394
686	0.5768076956
687	0.5767561651
688	0.5767020818
689	0.576656314
690	0.5766032823
691	0.5765570408
692	0.5764936928
693	0.5764330929
694	0.5763866376
695	0.5763394542
696	0.5762919305
697	0.5762418616
698	0.5761934702
699	0.5761393315
700	0.5760936648
701	0.5760417358
702	0.5759907142
703	0.5759428219
704	0.5758878646
705	0.5758314115
706	0.5757767451
707	0.5757289648
708	0.5756812839
709	0.5756400124
710	0.5755977332
711	0.5755415081
712	0.5754903075
713	0.575432783
714	0.5753866584
715	0.5753356656
716	0.5752951464
717	0.5752536018
718	0.5752068823
719	0.5751599731
720	0.5750982508
721	0.575038333
722	0.5749836859
723	0.5749336812
724	0.5748878031
725	0.5748471526
726	0.5748040673
727	0.5747452633
728	0.5746978401
729	0.5746409876
730	0.5745925153
731	0.5745349103
732	0.5744776204
733	0.5744396396
734	0.5743855303
735	0.5743328033
736	0.5742812987
737	0.5742344034
738	0.5741833665
739	0.5741285974
740	0.5740755528
741	0.5740332765
742	0.5739850091
743	0.5739292755
744	0.5738843996
745	0.5738394937
746	0.5737881659
747	0.5737382427
748	0.5736904405
749	0.5736463941
750	0.5735999672
751	0.5735455054
752	0.5734892028
753	0.5734420355
754	0.5733783128
755	0.5733318663
756	0.5732779329
757	0.5732347538
758	0.5731852694
759	0.5731434746
760	0.5731050548
761	0.5730486394
762	0.5730062736
763	0.5729599945
764	0.5729009286
765	0.5728518015
766	0.5727935803
767	0.5727482283
768	0.5726906166
769	0.5726342637
770	0.5725874537
771	0.5725464102
772	0.5724904632
773	0.5724276108
774	0.5723726567
775	0.5723299989
776	0.5722878486
777	0.5722436555
778	0.5722036281
779	0.5721425726
780	0.5720981607
781	0.5720560067
782	0.5720163914
783	0.571981087
784	0.5719274789
785	0.5718746731
786	0.5718109639
787	0.5717634627
788	0.5716963012
789	0.57164789
790	0.5716036304
791	0.5715527927
792	0.571504155
793	0.5714513838
794	0.5714024205
795	0.5713582843
796	0.5713085747
797	0.5712644195
798	0.5712195661
799	0.5711769408
800	0.5711396587
801	0.5710913061
802	0.5710374266
803	0.5709811101
804	0.5709332824
805	0.5708765786
806	0.5708271243
807	0.5707810803
808	0.5707285099
809	0.5706784029
810	0.5706378371
811	0.570587691
812	0.5705461572
813	0.5705011346
814	0.5704621061
815	0.5704145099
816	0.5703598508
817	0.5703134277
818	0.5702735331
819	0.5702187629
820	0.5701781819
821	0.5701233061
822	0.5700756984
823	0.5700255201
824	0.569969942
825	0.5699213741
826	0.569868521
827	0.5698335841
828	0.5697959888
829	0.5697497996
830	0.5697091754
831	0.569663604
832	0.5696154472
833	0.569569813
834	0.5695273651
835	0.5694797224
836	0.5694255352
837	0.5693859854
838	0.5693370898
839	0.569299793
840	0.5692495563
841	0.5692043874
842	0.5691694925
843	0.5691150234
844	0.5690649843
845	0.5690233506
846	0.5689777944
847	0.5689311267
848	0.5688797912
849	0.5688363782
850	0.5687867263
851	0.568743143
852	0.5687091171
853	0.5686584714
854	0.5686081484
855	0.5685665437
856	0.5685221432
857	0.5684827477
858	0.5684411047
859	0.5684013252
860	0.5683563007
861	0.5683143341
862	0.5682724359
863	0.5682241909
864	0.568185131
865	0.5681416721
866	0.5680936338
867	0.5680397102
868	0.567986629
869	0.5679384962
870	0.5678857776
871	0.5678541243
872	0.5677940795
873	0.5677463694
874	0.5677048797
875	0.5676575377
876	0.5676250855
877	0.5675862076
878	0.5675387841
879	0.5674891181
880	0.5674356413
881	0.5673882471
882	0.5673328459
883	0.5672931474
884	0.5672325265
885	0.5671885213
886	0.567143732
887	0.567088795
888	0.5670515468
889	0.5670166021
890	0.5669803342
891	0.5669564521
892	0.5669109487
893	0.5668640168
894	0.5668179234
895	0.5667802554
896	0.566734498
897	0.5666850858
898	0.5666423218
899	0.5665982484
900	0.5665569031
901	0.5665145501
902	0.5664696084
903	0.5664306145
904	0.566385927
905	0.5663440836
906	0.5663030389
907	0.5662651123
908	0.5662162834
909	0.5661684967
910	0.5661181753
911	0.5660792962
912	0.5660421741
913	0.5660007507
914	0.5659565596
915	0.5659113103
916	0.5658669114
917	0.5658284568
918	0.5657890042
919	0.5657417926
920	0.565700636
921	0.5656615994
922	0.565627881
923	0.5655694867
924	0.5655334045
925	0.5654907018
926	0.565451233
927	0.5654067381
928	0.565368402
929	0.5653257126
930	0.5652805735
931	0.5652359208
932	0.5651947251
933	0.5651566311
934	0.5651130328
935	0.5650725078
936	0.565029961
937	0.564994115
938	0.5649521432
939	0.5649076882
940	0.5648606817
941	0.5648149192
942	0.5647704539
943	0.5647215649
944	0.5646761083
945	0.5646335809
946	0.5645976751
947	0.5645610006
948	0.5645217645
949	0.5644800355
950	0.564438623
951	0.5643958403
952	0.5643523258
953	0.5643002322
954	0.5642561248
955	0.564207808
956	0.5641767572
957	0.5641391995
958	0.5641052188
959	0.5640634319
960	0.5640180131
961	0.5639632
962	0.5639270883
963	0.563888171
964	0.5638413823
965	0.5638076605
966	0.5637649067
967	0.5637291398
968	0.56367441
969	0.5636274097
970	0.5635814555
971	0.563536153
972	0.5634917244
973	0.563447002
974	0.5634011797
975	0.5633630093
976	0.5633199119
977	0.5632781443
978	0.5632350403
979	0.5631861072
980	0.5631453179
981	0.5631021023
982	0.5630482099
983	0.5629987313
984	0.5629578407
985	0.5629099028
986	0.5628674448
987	0.562826499
988	0.5627868089
989	0.5627511529
990	0.5627064262
991	0.5626640901
992	0.5626194427
993	0.5625769886
994	0.5625348965
995	0.562495943
996	0.5624514975
997	0.5624085962
998	0.5623619352
999	0.5623178212
